iteration,latency_ns
532,50082834
533,53144541
534,54417916
535,40612916
536,58965292
537,48385667
538,57135291
539,43357917
540,52282667
541,50728375
542,57328500
543,51717250
544,47334833
545,48943709
546,52665750
547,62300958
548,49376334
549,60790542
550,53737583
551,62111875
552,52707000
553,59190000
554,62508708
555,50581042
556,49471750
557,53905667
558,48342208
559,57620917
560,47479167
561,53003084
562,41864625
563,56961167
564,49328542
565,52516959
566,52277458
567,44935417
568,61847792
569,50998667
570,50380417
571,46075667
572,52054084
573,52096208
574,52396709
575,54072125
576,56949625
577,52799917
578,54489417
579,52274041
580,48958875
581,61124292
582,54024292
583,56521625
584,57605542
585,48127458
586,46979292
587,54140542
588,48345792
589,57601292
590,52433375
591,53434458
592,48561583
593,48437417
594,43403417
595,56793916
596,47891459
597,63313167
598,53948125
599,52261625
600,53548500
601,51283750
602,53376417
603,52507250
604,48703750
605,53892667
606,59379459
607,50389666
608,49179709
609,60522541
610,53854917
611,43867375
612,53438458
613,52356042
614,49741291
615,56713625
616,60575416
617,53843500
618,57141166
619,41010667
620,57962084
621,46522667
622,55129709
623,51153292
624,45365250
625,61217583
626,61752542
627,57565583
628,57856709
629,53200000
630,47747083
631,48444625
632,46608792
633,44260875
634,53017375
635,53597125
636,58520000
637,43164000
638,67500958
639,52655125
640,51003209
641,54531084
642,59155333
643,47556417
644,59641833
645,49148708
646,49233917
647,51484375
648,60639236
649,47917667
650,63040333
651,41100417
652,53661041
653,64726042
654,56074291
655,54024292
656,62960000
657,52807917
658,58237000
659,51834083
660,54734709
661,54063334
662,55554375
663,59548375
664,56773167
665,52847833
666,48272292
667,56939208
668,64887500
669,54274750
670,54108083
671,48921125
672,52984791
673,56991458
674,54417084
675,50994459
676,49789916
677,52456000
678,48355875
679,56898625
680,57073959
681,54688000
682,47728667
683,52934166
684,46716625
685,54394208
686,48533042
687,52408875
688,53137875
689,43417167
690,58960125
691,51155125
692,49620541
693,48593584
694,47396166
695,55484250
696,59161875
697,55501917
698,65550125
699,48927417
700,73064000
701,55324959
702,48632708
703,57065417
704,54856708
705,56082375
706,53647166
707,54497666
