iteration,latency_ns
532,56527792
533,58314291
534,54670333
535,50732625
536,54389250
537,53841292
538,55954958
539,48700500
540,49724625
541,51207042
542,53280916
543,44701291
544,56719541
545,53654167
546,53146791
547,44625667
548,56997250
549,47537917
550,53630000
551,63625125
552,55361292
553,49572666
554,47657625
555,57166375
556,53198083
557,45125084
558,43610375
559,60756333
560,51400125
561,57145666
562,50087625
563,53487000
564,53010792
565,61083750
566,48875875
567,52225042
568,63057083
569,58469208
570,55028250
571,61423250
572,58718708
573,58767209
574,52944542
575,46707042
576,55588376
577,50658583
578,46565125
579,53385250
580,59342250
581,43248375
582,52043750
583,52371458
584,49307334
585,58959208
586,51428500
587,54004417
588,55319458
589,46290875
590,57571959
591,55835458
592,56272625
593,56661042
594,52285458
595,54339042
596,51500416
597,53477750
598,53468792
599,52349458
600,58033625
601,45315417
602,51497501
603,43985833
604,53227459
605,52898875
606,47240250
607,53059541
608,66905541
609,43892959
610,52604083
611,54277667
612,46712333
613,52565584
614,52870750
615,43040876
616,49505708
617,57035292
618,45497708
619,53280542
620,57074916
621,57115500
622,58112250
623,51964334
624,44794542
625,53257167
626,59626584
627,54970166
628,51574751
629,55814542
630,42758875
631,52583834
632,54575000
633,52196000
634,51755250
635,52558708
636,45565250
637,52911791
638,57089042
639,52964084
640,49645084
641,58798917
642,46637917
643,49895625
644,51767084
645,58619500
646,56357959
647,58133583
648,59933292
649,44348500
650,50950583
651,50258959
652,42326834
653,45424625
654,41590792
655,49466917
656,54059416
657,45588542
658,43928958
659,54528125
660,54392084
661,51379875
662,53489916
663,53959667
664,52438250
665,52727708
666,49277208
667,52956416
668,44859334
669,51236958
670,44157542
671,45218334
672,56503333
673,52461083
674,48512000
675,55108666
676,51608667
677,53247292
678,48752917
679,56187709
680,45240750
681,51494083
682,52459626
683,52491042
684,48175166
685,55093917
686,52229917
687,44170167
688,53324542
689,52044500
690,51153625
691,51929958
692,54195750
693,48633042
694,52797958
695,53046833
696,49216791
697,53725833
698,51871250
699,52828959
700,58450667
701,47103208
702,53083917
703,53367000
704,58933583
705,44688666
706,55874959
707,52438208
708,53698375
709,44996125
710,60922166
711,52674000
712,49093250
713,51079125
714,55485041
715,68865875
716,53017500
717,44921625
718,52794417
719,40993834
720,52704584
721,53634000
722,60826833
723,52149084
724,44356500
725,51547333
726,48347958
727,51477000
728,43591500
729,47661208
730,55985292
731,50076750
732,42656709
733,52628167
734,51493500
735,53256167
736,44137334
737,53224083
738,53259875
739,44023334
740,56526625
741,59389958
742,55733250
743,58394458
744,52402166
745,56600125
746,53827375
747,53647916
748,52449376
749,48042334
750,52620875
751,46937083
752,41134125
753,53847958
754,52652333
755,62694125
756,46826792
757,58873875
758,61400708
759,58554875
760,51565292
761,43985251
762,49141959
763,60850208
764,52931125
765,53822042
766,52715917
767,45858083
768,52220916
769,49605125
770,53938167
771,62926083
772,55495667
773,53728750
774,52913376
775,55622291
776,48642083
777,51937000
778,47695583
779,44464666
780,48691667
781,57322000
782,45033708
783,57304167
784,52755708
785,53101459
786,48870458
787,48673917
788,50609417
789,54477875
790,61250250
791,48621583
792,50694542
793,58614083
794,55126500
795,50411542
796,50832667
797,53675875
798,53495875
799,49420125
800,47741459
801,48405542
802,43234291
803,53133958
804,49540750
805,60808209
806,51682916
807,62088375
808,50818667
809,49701666
810,45906500
811,70281667
812,46344625
813,50945251
814,44578917
815,52908375
816,52444208
817,54018000
818,42871583
819,51613666
820,45843583
821,57044333
822,44441084
823,54136917
824,65259208
